code,ri
A058730,1.668045977
A014580,0.633333333
A008870,1.281724138
A015590,0.562643678
A023810,2.636781609
A011420,1.669195402
A002760,2.717586207
A015020,4.194252874
A072130,0.795172414
A006890,2.12137931
A009310,0.700344828
A004270,1.696091954
A128820,-4.474153846
A005320,4.94091954
A010040,1.141034483
A001290,0.872643678
A155660,-0.667741935
A004100,2.754712644
A024070,0.512298851
A030790,1.566896552
A090080,1.924827586
A004090,1.617586207
A119650,-0.230857143
A210540,-4.263636364
A009460,1.015977011
A092220,0.513448276
A000910,1.138965517
A004740,0.742643678
A001620,1.877011494
A001560,1.250804598
A005420,1.529195402
A104110,2.57908046
A006740,1.165172414
A003780,2.235057471
A011810,-2.023908046
A109070,2.038765432
A002070,0.927586207
A023450,2.123793103
A009190,-2.517931034
A017370,3.172758621
A011500,1.16908046
A088790,2.339655172
A024900,2.097356322
A071950,3.444022989
A013360,1.523103448
A093230,0.274367816
A009320,2.852298851
A023350,0.79375
A011300,4.153448276
A000950,1.701609195
A004410,1.14862069
A031820,1.863448276
A012600,0.843333333
A002410,-3.800574713
A000760,2.25862069
A001070,2.24045977
A023150,0.616896552
A000520,0.37091954
A013700,2.074252874
A002710,0.481494253
A010660,1.165402299
A008110,2.257356322
A003580,0.183678161
A069730,1.974827586
A008420,1.104252874
A003720,2.522758621
A010770,1.411494253
A051630,2.854597701
A026940,0.645057471
A001550,2.535402299
A004140,1.243218391
A009180,2.706091954
A005620,-0.953563218
A003680,2.29045977
A033250,3.21908046
A005070,2.371034483
A002140,2.633448276
A044380,2.945747126
A002690,-2.006666667
A020120,2.141034483
A090370,0.077931034
A049800,2.806206897
A005820,1.284597701
A007610,0.945057471
A025820,1.873218391
A009810,2.542183908
A005030,0.942413793
A010420,1.014137931
A002220,0.339655172
A006200,0.990114943
A069460,2.750114943
A025620,0.95908046
A019180,1.518850575
A003010,0.976091954
A071090,1.847816092
A015540,3.012528736
A030720,2.082068966
A101140,-0.305517241
A023960,2.519770115
A006110,0.707241379
A007460,-1.793103448
A005450,1.73816092
A011390,2.690689655
A074610,1.470114943
A019490,1.273793103
A134790,-0.834237288
A004920,5.166091954
A008500,1.263103448
A025890,1.435172414
A010600,1.262413793
A009470,1.753448276
A009140,1.55816092
A007630,2.133103448
A027970,-0.307356322
A001420,2.109195402
A002870,-0.19
A010580,0.668390805
A011720,0.103448276
A002420,0.58045977
A011230,0.934827586
A010640,2.444827586
A001770,0.844597701
A001140,3.016091954
A007280,-1.734712644
