code,equity
A014710,130802581.8
A012170,30104398.55
A003080,88261379.99
A079660,112305389
A014910,30472275.28
A015260,69054017.95
A005430,265493413
A009200,636360940.6
A007120,26375815.43
A000850,216419770.9
A002100,155880875
A058850,120357042.4
A006980,170425601.2
A004080,78726461.03
A001470,243743230.5
A033180,57090603.53
A014160,109079171.1
A001260,56491563.11
A000300,90610053.18
A123700,128270513
A002600,90253197.38
A001020,132941616.8
A008970,95677906.58
A008700,64928347.02
A008250,139087812
A017180,71715842.55
A018500,43282048.12
A009070,149515372.6
A077500,135561009.3
A007190,117911475.4
A017040,68491410.57
A002720,64485534.92
A006880,118490102.3
A002920,222947092.2
A003610,175402385.1
A012800,170903674.8
A020760,106796780.5
A028100,125275763.4
A005360,61430891.39
A005010,377179466.8
A004450,104512329.3
A007590,113069599.7
A002900,138557627.1
A017550,72445397.89
A013580,440436492.3
A000500,255162647.5
A009770,134614205.5
A145210,106591441.7
A001750,256620486.5
A129260,174814022.2
A081000,62716662.39
A027740,84142107.02
A084670,119071192.9
A016590,235928646
A013000,29191019.29
A010960,111436011.6
A006570,133905385.5
A013870,164261802.2
A000220,69120817.4
A077970,501214361.7
A000590,179208197.6
A032560,157145052.4
A011330,12103304.38
A083420,92601617.74
A021050,111220938.4
A011690,39293588.44
A023800,203888970.5
A001340,168247303.5
A118000,16562582.81
A133820,55717920.79
A010100,253895891.9
A214330,47311048.52
A005960,378621289
A006660,167534518.2
A025620,14266388.95
A120030,46512250.98
A002200,193906248.2
A001080,205067548
A014440,89985080.26
A001570,46065953.05
A015230,99991664.75
A058730,65402869.6
A144620,167277464.2
A011700,52197851.08
A025530,185124799.2
A001210,231655675.3
A008260,62160134.32
A072130,68867873.18
A104120,36394471.72
A015590,72246763.08
A011420,27137641.21
A015020,44440743.66
A014580,109956833.9
A008870,115673291.1
A088790,70098137.99
A128820,428664116.7
A006890,79896737.3
A004100,94593073.6
A155660,90636493.25
A090080,29423516.03
A030790,14969496.42
A024070,113802715.7
A010040,79648797.11
A005320,12067561.03
A092220,166538055.5
A001290,177696187.7
A004090,97320218.24
A023810,68253879.87
A009460,40757252.95
A004270,81683920.76
A071950,38180038.75
A119650,62978054.7
A210540,91515927.76
A001620,148671058.4
A011300,97710428.49
A001560,65333885.25
A009190,43118947.17
A004740,49306225.6
A002760,36288407.39
A000950,197230688.5
A025820,111297150.1
A006740,94560190.93
A005420,237469016.9
A002070,142552621.5
A023350,109471375.5
A011500,71981674.28
A000910,201147695
A017370,78433819.71
A109070,20658934.84
A093230,53528294.64
A003780,26617917.07
A012600,77777867.59
A009320,20764443.63
A023450,46546311.23
A104110,44756608.97
A024900,64986421.69
A023150,46791219.37
A002410,67703899.16
A013360,124954211.2
A010660,108649368.6
A008110,114710873.2
A004410,25485418.84
A069730,102738797.3
A000760,178487084.2
A008420,86893560.02
A003720,117328247.5
A001070,107044778.5
A003580,37656592.39
A010770,164345868.4
A013700,78896877.84
A000520,64805520.48
A004140,134568392
A031820,51061952.33
A026940,101629334
A001550,23778283.6
A002710,185529324.7
A007610,74827564.57
A003680,59008854.96
A009180,92684903.33
A033250,28345106.54
A051630,24218186.73
A044380,29724676.56
A005620,813156416.9
A071970,218022271.9
A002140,61826746.5
A002690,92979242.37
A049800,68849878.59
A005070,77634630.41
A020120,13672596.77
A005820,81477195.24
A023960,118230202
A010420,41897216.39
A090370,58434247.01
A002220,270029464.1
A011390,44267643.46
A005450,96209817.62
A069460,32692266.31
A019180,33902036.83
A006200,162766408.1
A003010,101729347.1
A009810,38092962.46
A005030,44621474.37
A101140,5973504.399
A030720,37738643.51
A071090,124292390.4
A007460,38186812.6
A004920,22911950.07
A134790,23759038.86
A006110,102082492.5
A008500,51293485.92
A025890,73040387.66
A015540,13691326.93
A019490,53042709.24
A074610,9481302.08
A011810,1272671291
A009470,41468376.93
A009140,56226595.9
A010600,37208065.02
A007630,21344664.1
A010580,19481596.13
A027970,40451898.74
A001420,29335678.59
A002870,86838869.97
A011720,5741736.71
A011230,14529810.26
A002420,26611850.43
A010640,14335457.81
A001770,37753410.95
A001140,27695895.09
A007280,105880509.4
