date,code,div
19955,A005930,0.71
19955,A015760,1.62
19955,A005380,1.71
19955,A090430,0
19955,A012330,3.27
19955,A028260,0
19955,A035420,0
19955,A032830,0
19955,A000660,0
19955,A000270,0
19955,A055550,0
19955,A051910,0
19955,A005490,1.87
19955,A033780,0
19955,A017670,0.21
19955,A034730,0
19955,A051900,0
19955,A018260,0
19955,A096770,0
19955,A000810,0.21
19955,A105560,0
19955,A002790,2.21
19955,A003550,3.38
19955,A011170,5.14
19955,A010950,6.82
19955,A034220,0
19955,A035250,0
19955,A010130,2.63
19955,A066570,0
19955,A008930,0.3
19955,A030200,0
19955,A021240,0
19955,A009540,0
19955,A023530,0
19955,A006400,0.36
19955,A086790,0
19955,A086280,0
19955,A000030,1.94
19955,A004020,2.04
19955,A001040,0.19
19955,A024110,0
19955,A161390,0
19955,A047810,0
19955,A018880,0
19955,A001800,2.5
19955,A128940,0
19955,A088350,0
19955,A027410,0
19955,A097950,0
19955,A139480,0
19955,A036570,0
19955,A005830,0
19955,A032640,0
19955,A000120,2.21
19955,A078930,0
19955,A029780,0
19955,A007070,0
19955,A002380,1.73
19955,A009240,0
19955,A004800,2.05
19955,A009830,0.84
19955,A012750,0
19955,A000720,0
19955,A009150,0.64
19955,A036460,0
19955,A004990,0.67
19955,A051600,0
19955,A000100,1.1
19955,A012630,0
19955,A069960,0
19955,A007310,2.21
19955,A000880,0
19955,A001450,1.02
19955,A138930,0
19955,A037620,0
19955,A000210,0.75
19955,A003520,0.54
19955,A016360,0.38
19955,A006800,0
19955,A047050,0
19955,A008770,2.5
19955,A005940,0
19955,A034020,0
19955,A010060,2.05
19955,A005300,0.42
19955,A047040,0
19955,A011210,0
19955,A004370,2.66
19955,A079160,0
19955,A012450,1.78
19955,A071050,0
19955,A004170,0.15
19955,A001440,2.86
19955,A000240,1.52
19955,A006360,2.65
19955,A010140,2.51
19955,A003490,1.84
19955,A028050,0
19955,A006280,2.05
19955,A079550,0
19955,A000150,0
19955,A011780,5.49
19955,A011070,0
19955,A111770,0
19955,A161890,0
19955,A002550,0.72
19955,A005610,0
19955,A005440,2.5
19955,A006120,2.15
19955,A028670,0
19955,A204320,0
19955,A000670,0.77
19955,A030000,0
19955,A000080,2.88
19955,A114090,0
19955,A120110,0
19955,A105630,0
19955,A214320,0
19955,A014820,1.49
19955,A006260,2.58
19955,A000060,2.07
19955,A057050,0
19955,A192400,0
19955,A008560,0
19955,A138040,0
19955,A005250,0.73
19955,A039490,0
19955,A003690,0.94
19955,A003450,0
19955,A226320,0
19955,A002620,2.22
19955,A001740,0.54
19955,A006650,0
19955,A010120,2
19955,A139130,0
19955,A001120,3.45
19955,A064350,0
19955,A192820,0
19955,A017800,0
19955,A003410,2.76
19955,A002350,0
19955,A000070,2.06
19955,A010620,2.96
19955,A002270,0.78
19955,A010780,1.69
19955,A042670,0
19955,A042660,0
19955,A108670,0
19955,A071840,0
19955,A073240,0
19955,A181710,0
19955,A082640,0
19955,A003000,0.34
19955,A068870,0
19955,A170900,0
19955,A023590,0
19955,A052690,0
19955,A049770,0
19955,A039130,0
19955,A185750,0
19955,A145990,0
19955,A081660,0
19955,A001680,1.25
19955,A180640,0
19955,A003240,0.2
19955,A069620,0
19955,A011790,0
19955,A020000,0
19955,A006040,3.43
19955,A001060,1.82
19955,A003620,0
19955,A025540,0
19955,A064960,0
19955,A000640,0.95
19955,A007570,1.99
19955,A037560,0
19955,A008000,3.42
19955,A001430,0
19955,A101530,0
19955,A004000,0.47
19955,A014680,3.69
19955,A020560,0
19955,A024720,0
19955,A089590,0
19955,A009420,0.52
19955,A034310,0
19955,A000990,1.97
19955,A175330,0
19955,A009970,3.15
19955,A033920,0
19955,A103140,0
19955,A071320,0
19955,A006840,0
19955,A115390,0
19955,A001230,3.26
19955,A069260,0
19955,A001520,2.5
19955,A019680,0
19955,A005740,2.08
19955,A002240,0.65
19955,A096760,0
19955,A016450,0
19955,A000370,2.21
19955,A018670,0
19955,A072710,0
19955,A012510,0
19955,A053210,0
19955,A000230,0.21
19955,A017810,1.62
19955,A003300,1.44
19955,A005180,2.15
19955,A007340,0
19955,A093050,0
19955,A085620,0
19955,A003090,0.31
19955,A002020,0.48
19955,A003470,0
19955,A009450,2.35
19955,A020150,0
19955,A002960,3.64
19955,A210980,0
19955,A060980,0
19955,A138250,0
19955,A044820,0
19955,A019170,1.04
19955,A004490,2.44
19955,A093370,0
19955,A003540,0
19955,A009290,3.1
19955,A008490,2.65
19955,A031440,0
19955,A078520,0
19955,A003060,0
19955,A029460,0
19955,A007210,3.1
19955,A003920,1.05
19955,A005850,2.42
19955,A036580,0
19955,A034120,0
