date,code,owner,dy,p_return,bps,eps
20080930,A014820,5315,4.5,-1.92,1133.79,61.01
20080930,A000670,3036,0.47,4.56,512723.55,76649.15
20080930,A120110,0,0,0,0,0
20080930,A192400,0,0,0,222267.04,29810.99
20080930,A005610,63,5.51,-14.87,18031.87,845.01
20080930,A005250,0,3.21,0,54037.98,4773.55
20080930,A000080,0,0,-18.48,11041.85,3600.06
20080930,A003410,12122,0,1.3,11558.38,-2147.18
20080930,A214320,0,0,0,120894.29,48448.6
20080930,A114090,0,0,0,32959.68,20068.67
20080930,A138040,0,0,0,0,0
20080930,A105630,0,0,0,0,0
20080930,A057050,0,0,0,26230.07,6563.97
20080930,A008560,1,4.1,0,1861.93,79.21
20080930,A039490,124129,1.32,0,23184.87,2952.05
20080930,A003690,53270,2.12,4.78,6084.18,533.04
20080930,A139130,0,0,0,0,0
20080930,A226320,0,0,0,0,0
20080930,A017800,9949,0.77,-0.12,87158.79,4174.82
20080930,A003450,98313,2.19,-1.17,13799.38,868.18
20080930,A010120,45661,1.93,-1.91,17776.03,3150.73
20080930,A192820,0,0,0,0,0
20080930,A001740,33863,1.19,1.69,9928.13,373.64
20080930,A064350,0,0,0,13593.08,767.47
20080930,A010780,0,0.75,3.68,19853.6,-746.84
20080930,A001120,123741,1.37,0.66,15174.21,1106.8
20080930,A010620,264808,3.7,-0.97,116874.79,25957.08
20080930,A073240,9701,0,-0.22,12108.8,-2658.29
20080930,A006650,3073,0,-4.76,52820.48,-11491.54
20080930,A002350,10378,0.74,0,2770.64,-126.67
20080930,A042670,287178,1.03,-0.82,10361.44,-731.72
20080930,A069620,24067,1.43,2.01,30110.68,3243.72
20080930,A042660,173901,3.26,-0.24,10162.91,1361.67
20080930,A000070,20273,1.62,2.35,68203.79,-5384.55
20080930,A108670,0,0,0,0,0
20080930,A003000,50150,1.43,2.56,6991.26,1141.79
20080930,A181710,0,0,0,0,0
20080930,A068870,46937,0,-1.13,16516.93,901.91
20080930,A071840,0,0,0,442375.78,-56499.07
20080930,A002270,17344,0.5,-3.13,249243.58,21272.72
20080930,A170900,0,0,0,0,0
20080930,A049770,298,2.75,-1.22,73692.37,2021.05
20080930,A082640,0,0,0,6679.88,372.52
20080930,A185750,0,0,0,0,0
20080930,A052690,0,0,0,16041.78,1796.34
20080930,A023590,0,1.76,-0.3,8644.13,1818.89
20080930,A001060,8920,3.38,2.01,19129.25,708.23
20080930,A039130,15296,3.22,1.31,9842.39,433.04
20080930,A081660,0,0,0,25874.52,917.03
20080930,A064960,66322,0,0,25222.1,2599.6
20080930,A145990,0,0,0,0,0
20080930,A003240,8749,0.15,1.39,1335463.15,-48761.67
20080930,A011790,47937,1.58,-3.85,24303.91,268.14
20080930,A180640,0,0,0,0,0
20080930,A001680,7709,0,0.85,9236.81,-114.1
20080930,A020000,3629,2.55,-2.5,18302.49,2150.48
20080930,A009420,0,0,0.53,1476.43,31.62
20080930,A024720,10,2.64,-1.38,3343.34,257.93
20080930,A006040,2736,2.75,-1.12,62327.37,12783.63
20080930,A037560,0,0,0,13269.32,538.8
20080930,A003620,11292,0,0.38,2087.47,-5890.19
20080930,A025540,4213,2.74,-0.46,23895.96,1552.46
20080930,A000640,27119,0.79,2.4,36859.54,4230.49
20080930,A006840,373,4.59,-2.08,40660.63,-2998.31
20080930,A007570,7754,0,-2.17,8820.2,-1105.32
20080930,A001430,48717,4.8,0.46,24684.04,2835.71
20080930,A008000,3549,0,-6.05,5492.15,-44.75
20080930,A004000,94887,1.69,1.94,30970.38,3305.79
20080930,A000990,5003,0,-0.91,25079.15,-7788.93
20080930,A014680,26465,5.77,-5.52,10040.35,279.74
20080930,A175330,0,0,0,0,0
20080930,A020560,2145,0,-2.83,4480.01,-1321.76
20080930,A069260,44945,4.58,-2.82,10478.28,1889.35
20080930,A034310,689,2.49,2.98,18531.2,2123.15
20080930,A033920,7237,2.32,1,4850.41,34.94
20080930,A071320,0,0,0,0,1238.25
20080930,A009970,245,3.2,4.85,8668.67,1869.01
20080930,A089590,0,0,0,1109.14,-2647.8
20080930,A103140,28387,0,0,24807.64,-7271.29
20080930,A115390,0,0,0,39031.39,6362.53
20080930,A096760,0,0,2.85,14828.74,-574.28
20080930,A001230,146888,2.79,3.32,31611.69,2824.71
20080930,A019680,18546,16.29,0.87,5418.16,192.76
20080930,A018670,4198,3.17,1.94,79763.25,5196.66
20080930,A001520,4775,0,-5.24,2727.09,-3088.81
20080930,A003090,2170,2.2,-0.31,19799.83,2521.2
20080930,A000230,1123,2.01,0.96,38488.52,3617.81
20080930,A060980,0,0,0,103782.05,5541.42
20080930,A053210,0,0,0,1952.87,196.13
20080930,A000370,12,0,-4.08,6330.1,1443.3
20080930,A072710,1015,3.45,0.84,91434.91,10008.37
20080930,A012510,0,0,2.41,308.94,-160.07
20080930,A016450,7069,2.9,-2.03,2390.03,-131.19
20080930,A020150,0,0,0,3147.81,1030.37
20080930,A002240,10159,1.06,-1.96,73910.87,10906.05
20080930,A002020,27167,1.03,-0.33,29023.23,4531.87
20080930,A005180,23977,2.76,1.69,31887.48,4218.38
20080930,A003470,52736,1.29,-3.28,8042.31,474.22
20080930,A093050,118248,1.86,1.42,17087.43,2485.67
20080930,A003300,15830,1.22,0.68,129812.13,1920.79
20080930,A101530,0,0,0,8764.47,76.46
20080930,A007340,3850,1.33,0,15147.55,1760.49
20080930,A085620,0,0,0,4504.73,101.41
20080930,A009450,0,2.75,14.93,61112.36,3355.56
20080930,A005740,0,1.57,-0.93,109176.29,1471.43
20080930,A017810,0,1.91,0,48130.84,6532.04
20080930,A044820,0,4.64,-1.41,2384.35,143.2
20080930,A210980,0,0,0,23379.76,1160.9
20080930,A031440,0,1.93,-1.47,31033.5,5704.17
20080930,A002960,0,8.53,-1.92,37851.87,9333.14
20080930,A078520,0,0.36,-2.38,6225.09,1113.84
20080930,A093370,3369,0,-0.83,1004.53,190.14
20080930,A003850,4009,2.04,2.02,41158.19,1758.65
20080930,A138250,0,0,0,34078.87,3658.48
20080930,A003060,0,0,-4.81,319.45,-115.31
20080930,A008490,570,4.51,1.57,10306.25,948.9
20080930,A009290,10207,1.87,1.03,3775.05,408.36
20080930,A117930,0,0,0,0,0
20080930,A004490,1770,1.63,-2.41,17974.43,5383.49
20080930,A029460,2814,0.86,-2.4,4547.68,378.2
20080930,A011200,158742,1.35,-0.13,20778.88,4427.83
20080930,A003540,17681,5.88,1.13,20705.2,1698.96
20080930,A005850,20,1.67,-1.11,8213.46,-1341.03
20080930,A003920,30080,0.2,1.57,685208.77,-28302.83
20080930,A214420,0,0,0,0,0
20080930,A036580,4377,0,-1.23,3899.01,-282.83
20080930,A034120,43743,0,0,24570.37,394.71
20080930,A007210,770,2.17,3.38,19351.41,503.07
20080930,A004430,10069,0,0,6014.84,-749.13
20080930,A084690,0,6.52,-2.8,8729.73,386.52
20080930,A122900,0,0,0,28962.8,4923.75
20080930,A029530,12335,4.59,-3.05,67644.44,6790.42
20080930,A058650,0,2.32,-1.68,207649.3,26572.09
20080930,A002390,15,1.4,-1.36,16463.57,588.47
20080930,A031430,0,0,0,27119.14,4124.41
20080930,A009410,14509,1.76,-1.56,8819.65,566.91
20080930,A001720,0,4.14,0,46021.02,3068.35
20080930,A021960,5586,4.29,-4.26,11102.83,737.1
20080930,A079430,0,4.37,-1.94,7166.17,1048.43
20080930,A004710,41154,1.92,-5.87,17935.23,1013.3
20080930,A019170,8972,2.65,-3.76,34593.68,2995.02
20080930,A006060,0,9.49,0.27,27947.9,2961.31
20080930,A025860,113369,2.72,0.36,8779.33,2854.65
