date,rate
20080930,5.373333333
20081231,3.913333333
20090331,2.453333333
20090630,2.72
20090930,3.366666667
20091231,3.29
20100331,2.873333333
20100630,2.93
20100930,2.973333333
20101231,2.96
20110331,3.413333333
20110630,3.503333333
20110930,3.453333333
20111231,3.403333333
20120331,3.45
20120630,3.226666667
20120930,2.833333333
20121231,2.77
20130331,2.62
20130630,2.636666667
20130930,2.663333333
20131231,2.683333333
20140331,2.65
20140630,2.576666667
20140930,2.266666667
20141231,2.04
20150331,1.84
20150630,1.66
20150930,1.56
20151231,1.593333333
