date,code,owner,dy,p_return,bps,eps
20080930,A014820,157,4.5,-1.92,1133.79,61.01
20080930,A000670,88,0.47,4.56,512723.55,76649.15
20080930,A120110,0,0,0,0,0
20080930,A192400,0,0,0,222267.04,29810.99
20080930,A005610,0,5.51,-14.87,18031.87,845.01
20080930,A005250,0,3.21,0,54037.98,4773.55
20080930,A000080,0,0,-18.48,11041.85,3600.06
20080930,A003410,138,0,1.3,11558.38,-2147.18
20080930,A214320,0,0,0,120894.29,48448.6
20080930,A114090,0,0,0,32959.68,20068.67
20080930,A138040,0,0,0,0,0
20080930,A105630,0,0,0,0,0
20080930,A057050,0,0,0,26230.07,6563.97
20080930,A008560,2,4.1,0,1861.93,79.21
20080930,A039490,1348,1.32,0,23184.87,2952.05
20080930,A003690,45656,2.12,4.78,6084.18,533.04
20080930,A139130,0,0,0,0,0
20080930,A226320,0,0,0,0,0
20080930,A017800,279,0.77,-0.12,87158.79,4174.82
20080930,A003450,249,2.19,-1.17,13799.38,868.18
20080930,A010120,8420,1.93,-1.91,17776.03,3150.73
20080930,A192820,0,0,0,0,0
20080930,A001740,457,1.19,1.69,9928.13,373.64
20080930,A064350,0,0,0,13593.08,767.47
20080930,A010780,0,0.75,3.68,19853.6,-746.84
20080930,A001120,3891,1.37,0.66,15174.21,1106.8
20080930,A010620,567352,3.7,-0.97,116874.79,25957.08
20080930,A073240,121,0,-0.22,12108.8,-2658.29
20080930,A006650,116,0,-4.76,52820.48,-11491.54
20080930,A002350,397,0.74,0,2770.64,-126.67
20080930,A042670,5527,1.03,-0.82,10361.44,-731.72
20080930,A069620,12380,1.43,2.01,30110.68,3243.72
20080930,A042660,24729,3.26,-0.24,10162.91,1361.67
20080930,A000070,517,1.62,2.35,68203.79,-5384.55
20080930,A108670,0,0,0,0,0
20080930,A003000,8157,1.43,2.56,6991.26,1141.79
20080930,A181710,0,0,0,0,0
20080930,A068870,3313,0,-1.13,16516.93,901.91
20080930,A071840,0,0,0,442375.78,-56499.07
20080930,A002270,1764,0.5,-3.13,249243.58,21272.72
20080930,A170900,0,0,0,0,0
20080930,A049770,32,2.75,-1.22,73692.37,2021.05
20080930,A082640,0,0,0,6679.88,372.52
20080930,A185750,0,0,0,0,0
20080930,A052690,0,0,0,16041.78,1796.34
20080930,A023590,0,1.76,-0.3,8644.13,1818.89
20080930,A001060,0,3.38,2.01,19129.25,708.23
20080930,A039130,0,3.22,1.31,9842.39,433.04
20080930,A081660,0,0,0,25874.52,917.03
20080930,A064960,1573,0,0,25222.1,2599.6
20080930,A145990,0,0,0,0,0
20080930,A003240,98,0.15,1.39,1335463.15,-48761.67
20080930,A011790,17548,1.58,-3.85,24303.91,268.14
20080930,A180640,0,0,0,0,0
20080930,A001680,56,0,0.85,9236.81,-114.1
20080930,A020000,7112,2.55,-2.5,18302.49,2150.48
20080930,A009420,0,0,0.53,1476.43,31.62
20080930,A024720,0,2.64,-1.38,3343.34,257.93
20080930,A006040,421,2.75,-1.12,62327.37,12783.63
20080930,A037560,0,0,0,13269.32,538.8
20080930,A003620,77,0,0.38,2087.47,-5890.19
20080930,A025540,1244,2.74,-0.46,23895.96,1552.46
20080930,A000640,21766,0.79,2.4,36859.54,4230.49
20080930,A006840,0,4.59,-2.08,40660.63,-2998.31
20080930,A007570,12044,0,-2.17,8820.2,-1105.32
20080930,A001430,1913,4.8,0.46,24684.04,2835.71
20080930,A008000,191,0,-6.05,5492.15,-44.75
20080930,A004000,1796,1.69,1.94,30970.38,3305.79
20080930,A000990,33473,0,-0.91,25079.15,-7788.93
20080930,A014680,2969,5.77,-5.52,10040.35,279.74
20080930,A175330,0,0,0,0,0
20080930,A020560,712,0,-2.83,4480.01,-1321.76
20080930,A069260,2516,4.58,-2.82,10478.28,1889.35
20080930,A034310,23,2.49,2.98,18531.2,2123.15
20080930,A033920,0,2.32,1,4850.41,34.94
20080930,A071320,0,0,0,0,1238.25
20080930,A009970,0,3.2,4.85,8668.67,1869.01
20080930,A089590,0,0,0,1109.14,-2647.8
20080930,A103140,188,0,0,24807.64,-7271.29
20080930,A115390,0,0,0,39031.39,6362.53
20080930,A096760,0,0,2.85,14828.74,-574.28
20080930,A001230,49791,2.79,3.32,31611.69,2824.71
20080930,A019680,0,16.29,0.87,5418.16,192.76
20080930,A018670,3213,3.17,1.94,79763.25,5196.66
20080930,A001520,644,0,-5.24,2727.09,-3088.81
20080930,A003090,0,2.2,-0.31,19799.83,2521.2
20080930,A000230,0,2.01,0.96,38488.52,3617.81
20080930,A060980,0,0,0,103782.05,5541.42
20080930,A053210,0,0,0,1952.87,196.13
20080930,A000370,6388,0,-4.08,6330.1,1443.3
20080930,A072710,0,3.45,0.84,91434.91,10008.37
20080930,A012510,0,0,2.41,308.94,-160.07
20080930,A016450,0,2.9,-2.03,2390.03,-131.19
20080930,A020150,0,0,0,3147.81,1030.37
20080930,A002240,1856,1.06,-1.96,73910.87,10906.05
20080930,A002020,2274,1.03,-0.33,29023.23,4531.87
20080930,A005180,11803,2.76,1.69,31887.48,4218.38
20080930,A003470,331,1.29,-3.28,8042.31,474.22
20080930,A093050,25030,1.86,1.42,17087.43,2485.67
20080930,A003300,228,1.22,0.68,129812.13,1920.79
20080930,A101530,0,0,0,8764.47,76.46
20080930,A007340,0,1.33,0,15147.55,1760.49
20080930,A085620,0,0,0,4504.73,101.41
20080930,A009450,0,2.75,14.93,61112.36,3355.56
