code,price
A085310,21750
A011280,928.3333333
A007540,24950
A014280,12450
A001790,61766.66667
A011090,890
A005390,2908.333333
A010820,1808.333333
A007810,3745
A068400,0
A084870,5233.333333
A007660,1491.666667
A001360,3108.333333
A227840,0
A004540,4365
A900050,0
A021820,48216.66667
A000040,650
A091090,7393.333333
A007700,4161.666667
A092200,5036.666667
A002880,595
A001270,23033.33333
A034300,23633.33333
A044450,6163.333333
A007980,12100
A130660,0
A025560,426.6666667
A004200,10873.33333
A005750,2300
A100250,1328.333333
A012610,23666.66667
A002840,45800
A003460,17466.66667
A026890,1408.333333
A003230,28200
A012200,2255
A037270,2706.666667
A004830,2118.333333
A103590,1700
A033530,4906.666667
A000490,18466.66667
A016090,640
A006380,9253.333333
A004310,3266.666667
A100840,82300
A035150,841.6666667
A117580,0
A092440,8460
A009440,10933.33333
A001390,10040
A005870,5266.666667
A016880,16250
A058860,0
A019440,0
A005980,14816.66667
A006220,8323.333333
A002150,0
A011930,5730
A004910,2221.666667
A013570,5675
A075180,5693.333333
A014130,11683.33333
A041650,2015
A002360,1268.333333
A063160,4370
A016710,7006.666667
A123690,0
A009160,4771.666667
A006490,4898.333333
A035510,57833.33333
A094280,5838.333333
A014790,25800
A002300,36833.33333
A002700,623.3333333
A003480,21716.66667
A006370,11833.33333
A035000,9066.666667
A004870,455
A012030,17850
A003650,30133.33333
A002820,42883.33333
A016610,6876.666667
A003160,1631.666667
A000890,17683.33333
A002310,9550
A002210,8386.666667
A002460,8553.333333
A015890,5243.333333
A012690,751.6666667
A030210,6966.666667
A100220,25433.33333
A001820,7480
A019300,1061.666667
A004770,4380
A001530,71400
A004560,8716.666667
A004890,91133.33333
A003280,2440
A023000,0
A006090,9296.666667
A058430,31650
A008350,6050
A003350,3936.666667
A024090,8446.666667
A003830,110833.3333
A163560,0
A005190,16833.33333
A005800,129000
A047400,0
A002170,31783.33333
A034590,26783.33333
A014990,1940
A014910,1531.666667
A093240,0
A011150,971.6666667
A008600,3441.666667
A053690,0
A110570,0
A001380,6213.333333
A014530,9770
A075580,0
A017900,2268.333333
A003960,20583.33333
A001470,41100
A078000,7640
A105840,0
A006340,6926.666667
A068290,2381.666667
A018470,7423.333333
A024890,1316.666667
A134380,0
A014710,0
A025750,1050
A008040,3315
A000650,52633.33333
A103130,0
A000850,42950
A004720,895
A003080,37766.66667
A009200,10663.33333
A058850,0
A009270,1863.333333
A006980,1626.666667
A005430,40683.33333
A002100,3916.666667
A012170,951.6666667
A001260,88366.66667
A015260,1155
A077970,33500
A123700,0
A007120,828.3333333
A033180,1355
A079660,6270
A014160,376.6666667
A004080,19766.66667
A021050,1068.333333
A002600,65866.66667
A001020,6093.333333
A007110,880
A145210,0
A000300,2725
A018500,695
A008970,1376.666667
A009070,18500
A077500,4526.666667
A002720,3083.333333
A008250,13600
A006880,0
A003610,17850
A020760,13533.33333
A007190,3743.333333
A005010,23016.66667
A008700,4161.666667
A002920,3215
A002900,8900
A017180,2808.333333
A013580,25733.33333
A129260,0
A005360,9130
A017550,1083.333333
A012800,803.3333333
A007590,6760
A012280,586.6666667
A000500,31616.66667
A017040,1346.666667
A004450,18133.33333
A009770,37516.66667
A028100,0
A001750,13916.66667
A081000,15633.33333
A010960,3731.666667
A000220,10060
A016590,12143.33333
A084670,27600
A016380,12833.33333
A027740,776.6666667
A011690,7640
A006570,4533.333333
A005960,15966.66667
A013000,825
A013870,0
A133820,0
A011330,705
A000590,66100
A001340,70733.33333
A083420,17750
A010100,12833.33333
A118000,0
A023800,4233.333333
A032560,8096.666667
A025530,5003.333333
A001570,516.6666667
A071970,0
A214330,0
A120030,0
A006660,7113.333333
A001080,13216.66667
A002200,10633.33333
A008260,2410
A001210,25550
A015230,13100
A144620,0
A014440,2081.666667
A104120,0
A011700,1225
A058730,2846.666667
A014580,17500
A008870,47283.33333
A015590,3736.666667
A023810,2455
A011420,2956.666667
A002760,1298.333333
A015020,741.6666667
A072130,5926.666667
A006890,3655
A009310,3281.666667
A004270,9346.666667
A128820,0
A005320,820
A010040,3650
A001290,3158.333333
A155660,0
A004100,7050
A024070,3985
A030790,1281.666667
A090080,1705
A004090,148166.6667
A119650,0
A210540,0
A009460,341.6666667
A092220,1115
A000910,9400
A004740,4605
A001620,2756.666667
A001560,4645
A005420,6376.666667
A104110,0
A006740,32666.66667
A003780,1570
A011810,46683.33333
A109070,0
A002070,47283.33333
A023450,25700
A009190,3571.666667
A017370,1623.333333
A011500,2813.333333
A088790,2980
A024900,9430
A071950,1685
A013360,8066.666667
A093230,11150
A009320,358.3333333
A023350,0
A011300,1960
A000950,33850
A004410,10983.33333
A031820,1568.333333
A012600,17533.33333
A002410,17716.66667
A000760,5080
A001070,37333.33333
A023150,6643.333333
A000520,11416.66667
A013700,11816.66667
A002710,21133.33333
A010660,16283.33333
A008110,3950
A003580,11533.33333
A069730,3065
A008420,3518.333333
A003720,8720
A010770,2898.333333
A051630,1086.666667
A026940,4796.666667
A001550,9936.666667
A004140,4823.333333
A009180,1521.666667
A005620,107300
A003680,4940
A033250,1438.333333
A005070,2791.666667
A002140,3928.333333
A044380,730
A002690,0
A020120,1573.333333
A090370,8416.666667
A049800,1350
A005820,11500
A007610,3296.666667
A025820,1331.666667
A009810,1023.333333
A005030,3473.333333
A010420,1565
A002220,31466.66667
A006200,1461.666667
A069460,1098.333333
A025620,786.6666667
A019180,1200
A003010,3545
A071090,26716.66667
A015540,531.6666667
A030720,5240
A101140,46966.66667
A023960,4775
A006110,25816.66667
A007460,10900
A005450,12486.66667
A011390,12116.66667
A074610,1433.333333
A019490,3998.333333
A134790,0
A004920,8920
A008500,16233.33333
A025890,4993.333333
A010600,611.6666667
A009470,9583.333333
A009140,13066.66667
A007630,1058.333333
A027970,10640
A001420,20750
A002870,13933.33333
A010580,876.6666667
A011720,1628.333333
A002420,31283.33333
A011230,5156.666667
A010640,1373.333333
A001770,15433.33333
A001140,8210
A007280,128333.3333
A005930,513666.6667
A015760,27800
A005380,57633.33333
A090430,598666.6667
A012330,75266.66667
A028260,0
A035420,131966.6667
A032830,0
A000660,11966.66667
A000270,10513.33333
A055550,33850
A051910,75633.33333
A005490,374500
A033780,82566.66667
A017670,205500
A034730,0
A051900,175833.3333
A018260,0
A096770,73633.33333
A000810,184666.6667
A105560,21183.33333
A002790,93233.33333
A003550,48966.66667
A011170,53233.33333
A010950,64000
A034220,23833.33333
A035250,12650
A010130,70900
A066570,91700
A008930,94633.33333
A030200,35550
A021240,26350
A009540,190833.3333
A023530,205500
A006400,71300
A086790,21316.66667
A086280,54766.66667
A000030,865
A004020,41266.66667
A001040,35283.33333
A024110,9160
A161390,0
A047810,0
A018880,8753.333333
A001800,163333.3333
A128940,0
A088350,0
A027410,0
A097950,170000
A139480,0
A036570,38666.66667
A005830,17316.66667
A032640,9760
A000120,87666.66667
A078930,25483.33333
A029780,33850
A007070,0
A002380,271166.6667
A009240,7770
A004800,38950
A009830,6736.666667
A012750,49366.66667
A000720,52966.66667
A009150,35750
A036460,55800
A004990,1052000
A051600,25200
A000100,199833.3333
A012630,33516.66667
A069960,65400
A007310,140166.6667
A000880,26016.66667
A001450,13933.33333
A138930,0
A037620,70500
A000210,44200
A003520,853.3333333
A016360,65000
A006800,12413.33333
A047050,19766.66667
A008770,13883.33333
A005940,13170
A034020,62366.66667
A010060,228666.6667
A005300,747666.6667
A047040,9883.333333
A011210,0
A004370,207500
A079160,14616.66667
A012450,25966.66667
A071050,25800
A004170,469000
A001440,19416.66667
A000240,13816.66667
A006360,63866.66667
A010140,22600
A003490,36500
A028050,52333.33333
A006280,85866.66667
A079550,0
A000150,89266.66667
A011780,23550
A011070,43950
A111770,0
A161890,0
A002550,15783.33333
A005610,7096.666667
A005440,52433.33333
A006120,22750
A028670,1108.333333
A204320,0
A000670,385666.6667
A030000,189166.6667
A000080,1845
A114090,0
A120110,0
A105630,0
A214320,0
A014820,1171.666667
A006260,62633.33333
A000060,5120
A057050,0
A192400,0
A008560,910
A138040,0
A005250,64933.33333
A039490,31266.66667
A003690,8140
A003450,8510
A226320,0
A002620,7280
A001740,8913.333333
A006650,19433.33333
A010120,41133.33333
A139130,0
A001120,16366.66667
A064350,0
A192820,0
A017800,60833.33333
A003410,5903.333333
A002350,1826.666667
A000070,32050
A010620,131000
A002270,140000
A010780,7481.666667
A042670,13680
A042660,18133.33333
A108670,0
A071840,0
A073240,5431.666667
A181710,0
A082640,0
A003000,14383.33333
A068870,38066.66667
