200810,A032830,
200810,A005930,1.22
200810,A005380,2.15
200810,A034730,
200810,A000880,2.60
200810,A003550,1.76
200810,A088350,
200810,A066570,0.47
200810,A009540,2.51
200810,A000150,1.04
200810,A034020,0.79
200810,A010140,2.21
200810,A000270,
200810,A096770,2.79
200810,A011810,1.83
200810,A000810,1.88
200810,A078930,1.86
200810,A017670,4.50
200810,A002990,2.71
200810,A003490,
200810,A034220,2.38
200810,A023530,0.60
200810,A000660,
200810,A029780,1.63
200810,A042670,1.03
200810,A016360,1.73
200810,A004020,1.33
200810,A004170,0.26
200810,A012330,1.58
200810,A001040,3.75
200811,A032830,
200811,A005930,1.22
200811,A005380,2.15
200811,A034730,
200811,A000880,2.60
200811,A003550,1.76
200811,A088350,
200811,A066570,0.47
200811,A009540,2.51
200811,A000150,1.04
200811,A034020,0.79
200811,A010140,2.21
200811,A000270,
200811,A096770,2.79
200811,A011810,1.83
200811,A000810,1.88
200811,A078930,1.86
200811,A017670,4.50
200811,A002990,2.71
200811,A003490,
200811,A034220,2.38
200811,A023530,0.60
200811,A000660,
200811,A029780,1.63
200811,A042670,1.03
200811,A016360,1.73
200811,A004020,1.33
200811,A004170,0.26
200811,A012330,1.58
200811,A001040,3.75
200812,A032830,
200812,A005930,1.22
200812,A005380,2.15
200812,A034730,
200812,A000880,2.60
200812,A003550,1.76
200812,A088350,
200812,A066570,0.47
200812,A009540,2.51
200812,A000150,1.04
200812,A034020,0.79
200812,A010140,2.21
200812,A000270,
200812,A096770,2.79
200812,A011810,1.83
200812,A000810,1.88
200812,A078930,1.86
200812,A017670,4.50
200812,A002990,2.71
200812,A003490,
200812,A034220,2.38
200812,A023530,0.60
200812,A000660,
200812,A029780,1.63
200812,A042670,1.03
200812,A016360,1.73
200812,A004020,1.33
200812,A004170,0.26
200812,A012330,1.58
200812,A001040,3.75
200901,A032830,
200901,A005930,1.00
200901,A005380,0.95
200901,A034730,0.74
200901,A000880,1.26
200901,A003550,1.38
200901,A088350,
200901,A066570,1.44
200901,A009540,2.02
200901,A000150,2.62
200901,A034020,0.62
200901,A010140,2.07
200901,A000270,1.25
200901,A096770,1.79
200901,A011810,
200901,A000810,1.88
200901,A078930,2.96
200901,A017670,5.55
200901,A003490,
200901,A034220,1.27
200901,A023530,0.36
200901,A000660,
200901,A016360,1.73
200901,A004020,0.58
200901,A012330,0.73
200901,A005490,1.29
200901,A030200,5.12
200901,A042660,2.86
200901,A005830,2.93
200901,A029780,2.09
200902,A032830,
200902,A005930,1.00
200902,A005380,0.95
200902,A034730,0.74
200902,A000880,1.26
200902,A003550,1.38
200902,A088350,
200902,A066570,1.44
200902,A009540,2.02
200902,A000150,2.62
200902,A034020,0.62
200902,A010140,2.07
200902,A000270,1.25
200902,A096770,1.79
200902,A011810,
200902,A000810,1.88
200902,A078930,2.96
200902,A017670,5.55
200902,A003490,
200902,A034220,1.27
200902,A023530,0.36
200902,A000660,
200902,A016360,1.73
200902,A004020,0.58
200902,A012330,0.73
200902,A005490,1.29
200902,A030200,5.12
200902,A042660,2.86
200902,A005830,2.93
200902,A029780,2.09
200903,A032830,
200903,A005930,1.00
200903,A005380,0.95
200903,A034730,0.74
200903,A000880,1.26
200903,A003550,1.38
200903,A088350,
200903,A066570,1.44
200903,A009540,2.02
200903,A000150,2.62
200903,A034020,0.62
200903,A010140,2.07
200903,A000270,1.25
200903,A096770,1.79
200903,A011810,
200903,A000810,1.88
200903,A078930,2.96
200903,A017670,5.55
200903,A003490,
200903,A034220,1.27
200903,A023530,0.36
200903,A000660,
200903,A016360,1.73
200903,A004020,0.58
200903,A012330,0.73
200903,A005490,1.29
200903,A030200,5.12
200903,A042660,2.86
200903,A005830,2.93
200903,A029780,2.09
200904,A032830,
200904,A005930,1.00
200904,A005380,0.95
200904,A034730,0.74
200904,A000880,1.26
200904,A003550,1.38
200904,A088350,1.14
200904,A066570,1.44
200904,A009540,2.02
200904,A000150,2.62
200904,A034020,0.62
200904,A010140,2.07
200904,A000270,1.25
200904,A096770,1.79
200904,A011810,
200904,A000810,1.65
200904,A078930,2.96
200904,A017670,5.55
200904,A003490,
200904,A034220,1.27
200904,A023530,0.36
200904,A000660,
200904,A016360,1.64
200904,A004020,0.58
200904,A012330,0.73
200904,A005490,1.29
200904,A030200,5.12
200904,A042660,2.86
200904,A005830,2.32
200904,A029780,2.09
200905,A032830,
200905,A005930,1.00
200905,A005380,0.95
200905,A034730,0.74
200905,A000880,1.26
200905,A003550,1.38
200905,A088350,1.14
200905,A066570,1.44
200905,A009540,2.02
200905,A000150,2.62
200905,A034020,0.62
200905,A010140,2.07
200905,A000270,1.25
200905,A096770,1.79
200905,A011810,
200905,A000810,1.65
200905,A078930,2.96
200905,A017670,5.55
200905,A003490,
200905,A034220,1.27
200905,A023530,0.36
200905,A000660,
200905,A016360,1.64
200905,A004020,0.58
200905,A012330,0.73
200905,A005490,1.29
200905,A030200,5.12
200905,A042660,2.86
200905,A005830,2.32
200905,A029780,2.09
200906,A032830,
200906,A005930,1.00
200906,A005380,0.95
200906,A034730,0.74
200906,A000880,1.26
200906,A003550,1.38
200906,A088350,1.14
200906,A066570,1.44
200906,A009540,2.02
200906,A000150,2.62
200906,A034020,0.62
200906,A010140,2.07
200906,A000270,1.25
200906,A096770,1.79
200906,A011810,
200906,A000810,1.65
200906,A078930,2.96
200906,A017670,5.55
200906,A003490,
200906,A034220,1.27
200906,A023530,0.36
200906,A000660,
200906,A016360,1.64
200906,A004020,0.58
200906,A012330,0.73
200906,A005490,1.29
