date,kospi_var,rate_var,rate
20072,0.021592881,0.016291667,4.94 
20073,0.024192712,0.052166667,4.82 
20074,0.026693729,0.045558333,4.96 
20075,0.029515085,0.016266667,5.13 
20076,0.03324044,0.003091667,5.35 
20077,0.032366385,0.004491667,5.43 
20078,0.041996465,0.011691667,5.33 
20079,0.029422896,0.042566667,5.44 
200710,0.033445059,0.036091667,5.49 
200711,0.033903654,0.097633333,5.59 
200712,0.028090199,0.121358333,5.90 
20081,0.033898673,0.043625,5.51 
20082,0.029337748,0.02,5.14 
20083,0.027494224,0.1113,5.20 
20084,0.02327023,0.200133333,5.02 
20085,0.026246217,0.077958333,5.36 
20086,0.026484539,0.009625,5.80 
20087,0.031581506,0.145091667,6.02 
20088,0.027246667,0.1543,5.83 
20089,0.039036629,0.408025,5.86 
200810,0.073450324,0.3718,5.16 
200811,0.055521325,0.2598,5.17 
200812,0.040518417,0.0762,4.30 
20091,0.037362843,0.076958333,3.97 
20092,0.036614863,0.005091667,4.60 
20093,0.032710806,0.015691667,4.49 
20094,0.039369614,0.015091667,4.43 
20095,0.034483788,0.027091667,4.53 
20096,0.02815856,0.018025,4.72 
20097,0.026482166,0.0204,4.61 
20098,0.028076153,0.001425,4.91 
20099,0.026456121,0.0038,4.85 
200910,0.023093978,0.003758333,4.91 
200911,0.024150633,0.002133333,4.84 
200912,0.021906782,0.026491667,4.76 
20101,0.024336421,0.040891667,4.84 
20102,0.023820125,0.0262,4.76 
20103,0.022311975,0.000825,4.47 
20104,0.026688199,0.000425,4.44 
20105,0.032081677,0.006233333,4.41 
20106,0.023692747,0.0604,4.41 
20107,0.023078154,0.126025,4.45 
20108,0.023215443,0.064425,4.27 
20109,0.021997863,0.029633333,3.91 
201010,0.023176748,0.068958333,3.66 
201011,0.024216413,0.038333333,4.03 
201012,0.020690592,0.030166667,4.02 
20111,0.022181024,0.021366667,4.30 
20112,0.023845714,0.034291667,4.41 
20113,0.025866667,0.0102,4.13 
20114,0.025657015,0.005825,4.10 
20115,0.025576751,0.013533333,3.97 
20116,0.023749926,0.038033333,3.92 
20117,0.023395,0.036966667,3.98 
20118,0.042361877,0.008091667,3.73 
20119,0.038542815,0.001491667,3.55 
201110,0.032653959,0.002033333,3.60 
201111,0.027928843,0.000491667,3.53 
201112,0.029327379,0.007691667,3.51 
20121,0.024753499,0.007366667,3.50 
20122,0.029185714,0.008025,3.55 
20123,0.023493304,0.016891667,3.69 
20124,0.025404512,0.047766667,3.64 
20125,0.027165843,0.065266667,3.49 
20126,0.024825436,0.055266667,3.41 
20127,0.02276807,0.0142,3.12 
20128,0.019758116,0.001491667,2.94 
20129,0.025103768,0.003291667,2.89 
201210,0.026136705,0.003666667,2.85 
201211,0.025498271,0.0043,2.87 
201212,0.02305158,0.0142,2.98 
20131,0.02149181,0.012158333,2.86 
20132,0.020141379,0.007358333,2.83 
20133,0.019872557,0.0434,2.69 
20134,0.024594109,0.077291667,2.63 
20135,0.023211478,0.066266667,2.68 
20136,0.027804871,0.005425,3.08 
20137,0.020167049,0.005425,3.18 
20138,0.02226681,0.006625,3.26 
20139,0.019458286,0.008958333,3.17 
201310,0.018991726,0.009333333,3.08 
201311,0.020946866,0.003466667,3.24 
201312,0.019033949,0.004691667,3.30 
20141,0.019850355,0.0022,3.26 
20142,0.019779007,0.0019,3.16 
20143,0.020421986,0.009025,3.17 
20144,0.017882411,0.031233333,3.17 
20145,0.020728045,0.024566667,3.08 
20146,0.022202401,0.017758333,2.97 
20147,0.022844068,0.026466667,2.76 
20148,0.022950494,0.041158333,2.77 
20149,0.022598459,0.022166667,2.65 
201410,0.026664146,0.011958333,2.42 
201411,0.025412727,0.012958333,2.33 
201412,0.022009916,0.023158333,2.34 
20151,0.023799582,0.019158333,2.16 
20152,0.025233658,0.015366667,2.12 
20153,0.025368289,0.011366667,1.97 
20154,0.027767961,0.011633333,1.86 
20155,0.030004854,0.004358333,2.11 
20156,0.02975534,0.008691667,2.04 
20157,0.033039419,0.013891667,2.05 
20158,0.035584966,0.006466667,1.95 
20159,0.027718595,0.004758333,1.85 
201510,0.024226063,0.007291667,1.78 
201511,0.026575479,0.024866667,1.94 
201512,0.024978005,0.021291667,1.90 
